experiment,label,principals,buckets,actions,triples,assertions,elapsed_ms,status
vary_principals,P1_B1_A1,1,1,1,1,8,1153,ok
vary_principals,P2_B1_A1,2,1,1,2,16,1854,ok
vary_principals,P3_B1_A1,3,1,1,3,24,2237,ok
vary_principals,P4_B1_A1,4,1,1,4,32,3882,ok
vary_principals,P5_B1_A1,5,1,1,5,40,5001,ok
vary_principals,P6_B1_A1,6,1,1,6,48,7710,ok
vary_buckets,P1_B1_A1,1,1,1,1,8,1235,ok
vary_buckets,P1_B2_A1,1,2,1,2,16,1643,ok
vary_buckets,P1_B3_A1,1,3,1,3,24,2692,ok
vary_buckets,P1_B4_A1,1,4,1,4,32,3600,ok
vary_buckets,P1_B5_A1,1,5,1,5,40,5110,ok
vary_buckets,P1_B6_A1,1,6,1,6,48,7035,ok
vary_actions,P1_B1_A1,1,1,1,1,8,989,ok
vary_actions,P1_B1_A2,1,1,2,2,16,1489,ok
vary_actions,P1_B1_A3,1,1,3,3,24,2401,ok
vary_actions,P1_B1_A4,1,1,4,4,32,2774,ok
vary_actions,P1_B1_A5,1,1,5,5,40,3719,ok
vary_actions,P1_B1_A6,1,1,6,6,48,4623,ok
