experiment,label,principals,buckets,actions,triples,assertions,elapsed_ms,status
triples,P1_B1_A1,1,1,1,1,8,1165,ok
triples,P2_B1_A1,2,1,1,2,16,2006,ok
triples,P2_B2_A1,2,2,1,4,32,3109,ok
triples,P2_B2_A2,2,2,2,8,64,6061,ok
triples,P3_B2_A2,3,2,2,12,96,11321,ok
triples,P3_B3_A2,3,3,2,18,144,21869,ok
triples,P4_B3_A2,4,3,2,24,192,36185,ok
triples,P4_B4_A2,4,4,2,32,256,61077,ok
triples,P4_B4_A3,4,4,3,48,384,114785,ok
triples,P4_B4_A4,4,4,4,64,512,184598,ok
triples,P6_B4_A4,6,4,4,96,768,450213,ok
triples,P4_B4_A4,4,4,4,64,512,188789,ok
triples,P8_B4_A4,8,4,4,128,1024,925867,ok
